id,timestamp,sepal_length,sepal_width,petal_length,petal_width,target
2863,2022-12-30 06:04:30.986376,5.6,3.0,4.5,1.5,1
2862,2022-12-30 06:04:29.975956,5.7,3.8,1.7,0.3,0
2861,2022-12-30 06:04:28.964896,4.8,3.1,1.6,0.2,0
2860,2022-12-30 06:04:27.952987,5.5,4.2,1.4,0.2,0
2859,2022-12-30 06:04:26.941505,4.8,3.0,1.4,0.1,0
2858,2022-12-30 06:04:25.929688,5.4,3.4,1.7,0.2,0
2857,2022-12-30 06:04:24.918494,6.9,3.2,5.7,2.3,2
2856,2022-12-30 06:04:23.906940,5.6,2.7,4.2,1.3,1
2855,2022-12-30 06:04:22.893576,5.0,3.4,1.6,0.4,0
2854,2022-12-30 06:04:21.882689,6.7,3.0,5.2,2.3,2
2853,2022-12-30 06:04:20.870198,6.8,3.2,5.9,2.3,2
2852,2022-12-30 06:04:19.856137,5.4,3.4,1.5,0.4,0
2851,2022-12-30 06:04:18.843566,4.4,3.2,1.3,0.2,0
2850,2022-12-30 06:04:17.831430,5.0,2.0,3.5,1.0,1
2849,2022-12-30 06:04:16.820126,5.4,3.7,1.5,0.2,0
2848,2022-12-30 06:04:15.809728,4.9,3.1,1.5,0.1,0
2847,2022-12-30 06:04:14.797136,5.4,3.4,1.5,0.4,0
2846,2022-12-30 06:04:13.785436,5.5,4.2,1.4,0.2,0
2845,2022-12-30 06:04:12.774231,5.0,3.5,1.6,0.6,0
2844,2022-12-30 06:04:11.763027,6.3,2.5,4.9,1.5,1
2843,2022-12-30 06:04:10.753184,6.7,3.1,4.4,1.4,1
2842,2022-12-30 06:04:09.743204,6.3,2.9,5.6,1.8,2
2841,2022-12-30 06:04:08.730892,7.1,3.0,5.9,2.1,2
2840,2022-12-30 06:04:07.719639,6.7,3.1,4.4,1.4,1
2839,2022-12-30 06:04:06.708318,5.2,3.5,1.5,0.2,0
2838,2022-12-30 06:04:05.697226,6.3,2.8,5.1,1.5,2
2837,2022-12-30 06:04:04.685446,6.1,2.8,4.0,1.3,1
2836,2022-12-30 06:04:03.673496,6.5,3.0,5.5,1.8,2
2835,2022-12-30 06:04:02.662356,4.4,2.9,1.4,0.2,0
2834,2022-12-30 06:04:01.650751,7.9,3.8,6.4,2.0,2
2833,2022-12-30 06:04:00.639499,5.1,3.5,1.4,0.2,0
2832,2022-12-30 06:03:59.628426,5.2,2.7,3.9,1.4,1
2831,2022-12-30 06:03:58.616567,4.8,3.4,1.9,0.2,0
2830,2022-12-30 06:03:57.605106,5.1,3.7,1.5,0.4,0
2829,2022-12-30 06:03:56.593612,5.0,3.6,1.4,0.2,0
2828,2022-12-30 06:03:55.581971,4.7,3.2,1.3,0.2,0
2827,2022-12-30 06:03:54.570134,5.0,2.3,3.3,1.0,1
2826,2022-12-30 06:03:53.558218,7.0,3.2,4.7,1.4,1
2825,2022-12-30 06:03:52.546591,6.7,3.3,5.7,2.1,2
2824,2022-12-30 06:03:51.534988,5.0,3.5,1.3,0.3,0
2823,2022-12-30 06:03:50.525579,6.7,3.3,5.7,2.5,2
2822,2022-12-30 06:03:49.513498,5.4,3.9,1.7,0.4,0
2821,2022-12-30 06:03:48.500542,7.2,3.2,6.0,1.8,2
2820,2022-12-30 06:03:47.489439,5.5,2.4,3.7,1.0,1
2819,2022-12-30 06:03:46.477376,6.8,3.0,5.5,2.1,2
2818,2022-12-30 06:03:45.462641,6.1,2.6,5.6,1.4,2
2817,2022-12-30 06:03:44.449922,6.2,2.9,4.3,1.3,1
2816,2022-12-30 06:03:43.438809,7.7,2.6,6.9,2.3,2
2815,2022-12-30 06:03:42.426103,5.1,3.8,1.6,0.2,0
2814,2022-12-30 06:03:41.408758,4.4,3.2,1.3,0.2,0
2813,2022-12-30 06:03:40.397313,4.7,3.2,1.6,0.2,0
2812,2022-12-30 06:03:39.385099,6.4,3.1,5.5,1.8,2
2811,2022-12-30 06:03:38.374011,5.7,3.8,1.7,0.3,0
2810,2022-12-30 06:03:37.362295,4.4,2.9,1.4,0.2,0
2809,2022-12-30 06:03:36.350056,6.7,3.0,5.2,2.3,2
2808,2022-12-30 06:03:35.342618,6.9,3.1,5.1,2.3,2
2807,2022-12-30 06:03:34.332729,4.9,3.6,1.4,0.1,0
2806,2022-12-30 06:03:33.320750,6.5,2.8,4.6,1.5,1
2805,2022-12-30 06:03:32.309423,6.7,3.1,4.7,1.5,1
2804,2022-12-30 06:03:31.298364,5.7,3.8,1.7,0.3,0
2803,2022-12-30 06:03:30.286975,4.4,2.9,1.4,0.2,0
2802,2022-12-30 06:03:29.278694,6.9,3.1,4.9,1.5,1
2801,2022-12-30 06:03:28.268726,6.3,3.3,4.7,1.6,1
