id,timestamp,sepal_length,sepal_width,petal_length,petal_width,target
8311,2023-01-02 09:12:20.174603,5.5,2.5,4.0,1.3,1
8310,2023-01-02 09:12:19.169325,5.5,3.5,1.3,0.2,0
8309,2023-01-02 09:12:18.163645,5.0,2.3,3.3,1.0,1
8308,2023-01-02 09:12:17.154039,4.9,3.1,1.5,0.2,0
8307,2023-01-02 09:12:16.140555,5.9,3.0,4.2,1.5,1
8306,2023-01-02 09:12:15.127455,5.6,2.9,3.6,1.3,1
8305,2023-01-02 09:12:14.117843,6.1,2.9,4.7,1.4,1
8304,2023-01-02 09:12:13.106508,5.1,2.5,3.0,1.1,1
8303,2023-01-02 09:12:12.093784,6.2,2.9,4.3,1.3,1
8302,2023-01-02 09:12:11.083813,5.8,2.7,5.1,1.9,2
8301,2023-01-02 09:12:10.077121,7.7,2.6,6.9,2.3,2
8300,2023-01-02 09:12:09.067146,5.7,2.8,4.5,1.3,1
8299,2023-01-02 09:12:08.054627,5.7,3.0,4.2,1.2,1
8298,2023-01-02 09:12:07.046307,6.3,2.5,5.0,1.9,2
8297,2023-01-02 09:12:06.035260,5.1,3.8,1.5,0.3,0
8296,2023-01-02 09:12:05.025370,5.0,3.6,1.4,0.2,0
8295,2023-01-02 09:12:04.018345,7.0,3.2,4.7,1.4,1
8294,2023-01-02 09:12:03.011011,5.8,4.0,1.2,0.2,0
8293,2023-01-02 09:12:02.003787,6.4,2.9,4.3,1.3,1
8292,2023-01-02 09:12:00.997124,5.7,2.8,4.5,1.3,1
8291,2023-01-02 09:11:59.989881,6.2,2.8,4.8,1.8,2
8290,2023-01-02 09:11:58.981948,4.6,3.4,1.4,0.3,0
8289,2023-01-02 09:11:57.971778,5.7,2.5,5.0,2.0,2
8288,2023-01-02 09:11:56.963631,4.6,3.1,1.5,0.2,0
8287,2023-01-02 09:11:55.956402,5.0,3.5,1.3,0.3,0
8286,2023-01-02 09:11:54.950128,6.3,2.8,5.1,1.5,2
8285,2023-01-02 09:11:53.943838,5.6,2.8,4.9,2.0,2
8284,2023-01-02 09:11:52.933297,7.1,3.0,5.9,2.1,2
8283,2023-01-02 09:11:51.923467,5.3,3.7,1.5,0.2,0
8282,2023-01-02 09:11:50.916600,4.4,3.2,1.3,0.2,0
8281,2023-01-02 09:11:49.909897,6.5,2.8,4.6,1.5,1
8280,2023-01-02 09:11:48.901203,4.8,3.0,1.4,0.1,0
8279,2023-01-02 09:11:47.891918,5.8,2.7,4.1,1.0,1
8278,2023-01-02 09:11:46.885368,6.3,3.4,5.6,2.4,2
8277,2023-01-02 09:11:45.874980,5.1,3.7,1.5,0.4,0
8276,2023-01-02 09:11:44.862509,6.1,3.0,4.6,1.4,1
8275,2023-01-02 09:11:43.853011,6.5,3.0,5.5,1.8,2
8274,2023-01-02 09:11:42.843115,5.1,2.5,3.0,1.1,1
8273,2023-01-02 09:11:41.829318,5.1,3.8,1.9,0.4,0
8272,2023-01-02 09:11:40.819820,5.0,3.6,1.4,0.2,0
8271,2023-01-02 09:11:39.808888,6.5,3.0,5.5,1.8,2
8270,2023-01-02 09:11:38.799020,4.9,2.5,4.5,1.7,2
8269,2023-01-02 09:11:37.789112,4.7,3.2,1.6,0.2,0
